               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.054837,             0.37989,            0.002131,             0.67685,             0.74857,             0.68371,             0.27314,            0.047125,             0.22138,           0.0037278,           0.0029059,           0.0029059,            0.011206
                 102,            0.056788,             0.35465,           0.0020416,              0.6606,             0.62038,              0.6094,              0.2288,            0.055954,             0.20928,           0.0031801,           0.0028602,           0.0028602,             0.01026
                 103,            0.053274,             0.33964,           0.0019846,             0.70378,             0.68127,             0.69777,             0.25438,            0.051439,             0.21332,           0.0025625,           0.0028141,           0.0028141,           0.0093141
                 104,            0.050851,             0.35126,           0.0018823,             0.63338,             0.78857,             0.68136,             0.26107,            0.047547,             0.21206,           0.0029391,           0.0027676,           0.0027676,           0.0083676
                 105,            0.053175,             0.35087,           0.0020201,             0.65564,              0.6327,              0.6385,             0.22284,            0.050758,             0.21063,           0.0027435,           0.0027208,           0.0027208,           0.0074208
                 106,            0.052832,             0.35578,            0.001935,              0.7702,              0.6739,             0.70707,             0.27639,            0.049033,             0.21205,           0.0029302,           0.0026737,           0.0026737,           0.0064737
                 107,            0.052042,             0.35448,           0.0019053,             0.70889,             0.71683,             0.72967,              0.2824,            0.044601,             0.21258,           0.0024757,           0.0026264,           0.0026264,           0.0055264
                 108,            0.051634,             0.34404,           0.0019591,             0.65552,             0.62492,             0.61591,             0.20177,            0.052396,             0.20959,           0.0027638,            0.002579,            0.002579,            0.004579
                 109,            0.058789,             0.36154,           0.0019412,             0.71176,             0.73654,             0.70848,             0.29629,            0.044628,             0.21138,           0.0026742,           0.0025315,           0.0025315,           0.0036315
                 110,            0.051779,             0.34635,           0.0022525,              0.6764,             0.75626,             0.69038,              0.2665,            0.046695,             0.20978,           0.0029312,           0.0024839,           0.0024839,           0.0026839
                 111,            0.050088,             0.34558,           0.0021022,             0.72403,             0.76107,             0.72938,             0.28916,            0.044522,             0.20958,           0.0025311,           0.0024195,           0.0024195,           0.0024195
                 112,             0.04911,             0.34328,           0.0018414,             0.75474,             0.72401,             0.73357,             0.29166,            0.044943,             0.20614,           0.0025134,           0.0024195,           0.0024195,           0.0024195
                 113,            0.050033,             0.32705,           0.0021838,             0.62708,              0.7927,             0.72944,             0.28083,            0.047148,             0.21677,           0.0024519,           0.0023515,           0.0023515,           0.0023515
                 114,            0.048666,             0.35861,           0.0020741,             0.79612,             0.74492,             0.76508,             0.30733,            0.046107,             0.22471,             0.00232,           0.0022849,           0.0022849,           0.0022849
                 115,            0.050203,              0.3447,           0.0018512,             0.79134,             0.72686,             0.75838,             0.30701,            0.046203,              0.2237,            0.002327,           0.0022196,           0.0022196,           0.0022196
                 116,            0.050168,              0.3544,            0.001908,             0.74358,              0.7443,             0.74962,             0.29339,            0.045797,             0.21518,            0.002327,           0.0021558,           0.0021558,           0.0021558
                 117,            0.050078,             0.37166,           0.0019172,             0.77339,             0.60983,              0.6652,              0.2607,            0.046495,             0.21695,           0.0022521,           0.0020935,           0.0020935,           0.0020935
                 118,             0.04731,             0.33571,           0.0019382,             0.71599,             0.59746,             0.67866,             0.23614,            0.048504,             0.22538,           0.0022252,           0.0020327,           0.0020327,           0.0020327
                 119,            0.048528,              0.3255,           0.0017324,             0.71638,             0.64428,             0.69531,             0.25801,            0.046032,             0.21425,           0.0020891,           0.0019734,           0.0019734,           0.0019734
                 120,            0.048864,             0.33354,           0.0017109,              0.7202,              0.5773,             0.62418,             0.20787,            0.050695,             0.21728,           0.0021025,           0.0019156,           0.0019156,           0.0019156
                 121,            0.047501,             0.33506,           0.0015525,             0.67331,             0.73143,             0.70575,             0.24753,            0.047403,             0.21859,           0.0020234,           0.0018594,           0.0018594,           0.0018594
                 122,            0.048183,             0.34597,           0.0017594,             0.68639,             0.79463,             0.73265,             0.29909,            0.042523,             0.21213,           0.0022654,           0.0018048,           0.0018048,           0.0018048
                 123,             0.04708,             0.34281,           0.0015133,             0.71499,             0.74453,             0.71672,             0.30545,            0.044383,             0.21254,            0.002421,           0.0017519,           0.0017519,           0.0017519
                 124,            0.048048,             0.35145,           0.0013661,             0.70015,             0.76857,             0.72334,              0.3055,            0.042669,             0.21235,           0.0026434,           0.0017005,           0.0017005,           0.0017005
